Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Source file	Title	Type of text	Source URL	Word count	URL	Matchbegin corpus position	Matchend corpus position
66	109346	adjourned until another date to see if the police can get the alleged victim to court . &lt;p&gt;  The matter	<<< is stood >>>	in the list at court until the police go @ @ @ @ @ @ @ @ @ @ .	adjourned_vvn until_cs_ii@ another_dd1 date_nn1 to_to see_vvi if_csw@_cs the_at police_nn2 can_vm get_vvi the_at alleged_jj victim_nn1 to_ii court_nn1 ._. &lt;p&gt; _null The_at matter_nn1	<<< is_vbz stood_vvn@ >>>	in_ii the_at list_nn1 at_ii court_nn1 until_cs_ii@ the_at police_nn2 go_vv0 @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii ._.	Australia	wlp_au_g03.txt	Domestic Violence | AVO | Assault Lawyer	General	http://assaultlawyer.armstronglegal.com.au/web/page/domestic_violence_faq	1145	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=65	101317966	101317967
67	146653	vomit . &lt;p&gt;  Nevin performed a number of monologues and conducted some stilted conversations using the poor text . She	<<< was stood >>>	on a box and some actresses -- more domestic-violence Stepford Wives than women of Troy -- came on . Each	vomit_nn1 ._. &lt;p&gt; _null Nevin_np1@_nn1 performed_vvd a_at1 number_nn1 of_io monologues_nn2 and_cc conducted_vvd_vvn some_dd stilted_jj@ conversations_nn2 using_vvg the_at poor_jj text_nn1 ._. She_pphs1	<<< was_vbdz stood_vvn@ >>>	on_ii a_at1 box_nn1 and_cc some_dd actresses_nn2 --_zz more_rgr domestic-violence_jj Stepford_nn1@_np1 Wives_nn2 than_csn women_nn2 of_io Troy_np1 --_zz came_vvd on_rp@ ._. Each_dd1	Australia	wlp_au_g03.txt	Quadrant Online - On the importance of being Kosky	General	http://www.quadrant.org.au/magazine/issue/2008/12/on-the-importance-of-being-kosky	2545	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=66	102697445	102697446
68	173548	this one is looking like it is a prime example . &lt;p&gt;  Seriously what a joke . How can someone	<<< be stood >>>	down from work for ' trolling ' anyway ? &lt;p&gt;  However public figures and political leaders in Australia are notoriously	this_dd1 one_pn1 is_vbz looking_vvg like_ii_cs@ it_pph1 is_vbz a_at1 prime_jj example_nn1 ._. &lt;p&gt; _null Seriously_rr what_ddq a_at1 joke_nn1 ._. How_rrq can_vm someone_pn1	<<< be_vbi stood_vvn@ >>>	down_rp from_ii work_nn1 for_if '_ge trolling_nn1@ '_ge anyway_rr ?_? &lt;p&gt; _null However_rgqv_rrqv_rr public_jj figures_nn2 and_cc political_jj leaders_nn2 in_ii Australia_np1 are_vbr notoriously_rr	Australia	wlp_au_g03.txt	Charlotte Dawson vs Twitter trolls - On the internet	General	http://forums.whirlpool.net.au/archive/1972419	27272	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=67	103433712	103433713
69	182353	@ @ @ @ by button-faced Miss Pym , whose hands were always bright red , as if they had	<<< been stood >>>	in cold water with the flowers . &lt;p&gt;  There were flowers : delphiniums , sweet peas , bunches of lilac	@_ii @_ii @_ii @_ii by_ii button-faced_jj_nn1 Miss_nnb Pym_np1 ,_, whose_ddqge hands_nn2 were_vbdr always_rr bright_jj red_nn1_jj ,_, as_cs21 if_cs22 they_pphs2 had_vhd	<<< been_vbn stood_vvn@ >>>	in_ii cold_jj water_nn1 with_iw the_at flowers_nn2 ._. &lt;p&gt; _null There_ex were_vbdr flowers_nn2 :_: delphiniums_nn2 ,_, sweet_jj peas_nn2 ,_, bunches_nn2 of_io lilac_nn1_jj	Australia	wlp_au_g03.txt	Mrs. Dalloway / Virginia Woolf	General	http://ebooks.adelaide.edu.au/w/woolf/virginia/w91md/	64075	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=68	103837166	103837167
70	198750	&lt;p&gt;  Even the Speaker in Federal Parliament has to shout louder than the politicians to make them hear they are	<<< being stood >>>	down for 1 hour - should be 24 hours if they behave like kidergarten kids . &lt;h&gt;  Fiona says :	&lt;p&gt; _null Even_rr the_at Speaker_nn1 in_ii Federal_jj Parliament_nn1 has_vhz to_to shout_vvi louder_jjr_rrr@ than_csn the_at politicians_nn2 to_to make_vvi them_ppho2 hear_vvi they_pphs2 are_vbr	<<< being_vbg stood_vvn@ >>>	down_rp for_if 1_mc1 hour_nnt1 -_- should_vm be_vbi 24_mc hours_nnt2 if_cs they_pphs2 behave_vv0 like_rr%_ii kidergarten_vv0 kids_nn2 ._. &lt;h&gt; _null Fiona_np1 says_vvz :_:	Australia	wlp_au_g03.txt	Strap yourselves in, things are only going to get ruder | Article | The	General	http://www.thepunch.com.au/articles/Strap-yourselves-in-things-are-only-going-to-get-ruder/	24796	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=69	104501448	104501449
71	490854	will begin nightly flyovers , increasing in duration and intensity . At that time , the world military forces will	<<< be stood >>>	down , so as to not interfere . &lt;p&gt;  At the end , there will be a bigger show .	will_vm begin_vvi nightly_jj_rr flyovers_nn2_vvz ,_, increasing_vvg in_ii duration_nn1 and_cc intensity_nn1 ._. At_ii that_dd1 time_nnt1 ,_, the_at world_nn1 military_jj_nn1@ forces_nn2 will_vm	<<< be_vbi stood_vvn@ >>>	down_rp ,_, so_bcl21 as_bcl22 to_to not_xx interfere_vvi ._. &lt;p&gt; _null At_ii the_at end_nn1 ,_, there_ex will_vm be_vbi a_at1 bigger_jjr show_nn1 ._.	Australia	wlp_au_g03.txt	Jupiter to become a Sun!	General	http://www.2012.com.au/Jupiter_Sun.html	1753	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=70	112094921	112094922
72	521347	stand downs affect entitlements , please contact the Fair Work Infoline on 13 13 94 . &lt;p&gt;  Employees who have	<<< been stood >>>	down without pay should also contact Centrelink on 13 28 50 to discuss the options available based on the employees	stand_vv0_nn1 downs_nn2 affect_vv0 entitlements_nn2 ,_, please_rr contact_vv0 the_at Fair_jj Work_nn1 Infoline_nn1@_np1_vv0@ on_ii 13_mc 13_mc 94_mc ._. &lt;p&gt; _null Employees_nn2 who_pnqs have_vh0	<<< been_vbn stood_vvn@ >>>	down_rp without_iw pay_nn1 should_vm also_rr contact_vvi Centrelink_nn1_np1 on_ii 13_mc 28_mc 50_mc to_to discuss_vvi the_at options_nn2 available_jj based_vvn on_ii the_at employees_nn2	Australia	wlp_au_g03.txt	Employment entitlements during natural disasters or emergencies	General	http://www.fairwork.gov.au/resources/fact-sheets/workplace-rights/pages/employment-entitlements-during-natural-disasters-or-emergencies.aspx	2555	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=71	113108986	113108987
73	521347	those employees who have accrued entitlements , he offers them the option of accessing those entitlements as an alternative to	<<< being stood >>>	down , at least until these have been exhausted . Anthony makes it clear that it is entirely optional and	those_dd2 employees_nn2 who_pnqs have_vh0 accrued_vvn entitlements_nn2 ,_, he_pphs1 offers_vvz@ them_ppho2 the_at option_nn1 of_io accessing_vvg those_dd2 entitlements_nn2 as_ii_csa an_at1 alternative_nn1_jj to_ii	<<< being_vbg stood_vvn@ >>>	down_rp ,_, at_rr21 least_rr22 until_cs these_dd2 have_vh0 been_vbn exhausted_vvn ._. Anthony_np1 makes_vvz it_pph1 clear_jj that_cst it_pph1 is_vbz entirely_rr optional_jj and_cc	Australia	wlp_au_g03.txt	Employment entitlements during natural disasters or emergencies	General	http://www.fairwork.gov.au/resources/fact-sheets/workplace-rights/pages/employment-entitlements-during-natural-disasters-or-emergencies.aspx	2555	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=72	113109356	113109357
74	526759	booming , retail 's only hope is to offer exceptional customer service . That is the marked difference that must	<<< be stood >>>	by . It boils down to the human interaction . The smart retail businesses will recognize this and pay their	booming_vvg_nn1_jj ,_, retail_jj_vv0@_nn1% 's_vbz_ge only_jj_rr hope_nn1_vv0 is_vbz to_to offer_vvi exceptional_jj customer_nn1 service_nn1 ._. That_dd1 is_vbz the_at marked_jj difference_nn1 that_cst_dd1 must_vm	<<< be_vbi stood_vvn >>>	by_ii_rp% ._. It_pph1 boils_vvz down_rp to_ii the_at human_jj_nn1 interaction_nn1 ._. The_at smart_jj retail_jj businesses_nn2 will_vm recognize_vvi this_dd1 and_cc pay_vvi their_appge	Australia	wlp_au_g03.txt	Exclusive: Confessions From The Most Corrupt Apple Store In	General	http://www.gizmodo.com.au/2012/08/exclusive-confessions-from-the-most-corrupt-apple-store-in-america/	4210	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=73	113322848	113322849
75	560140	carer and manager accused of failing to act on reports of the incident last year are believed to have both	<<< been stood >>>	down on full pay . &lt;p&gt;  The father of the alleged victim , yesterday told The Age he was not	carer_nn1 and_cc manager_nn1 accused_vvn_vvd of_io failing_vvg to_to act_vvi on_ii_rp@ reports_nn2 of_io the_at incident_nn1 last_md year_nnt1 are_vbr believed_vvn to_to have_vhi both_rr	<<< been_vbn stood_vvn@ >>>	down_rp on_ii full_jj pay_nn1 ._. &lt;p&gt; _null The_at father_nn1 of_io the_at alleged_jj victim_nn1 ,_, yesterday_rt told_vvd_vvn The_at Age_nn1 he_pphs1 was_vbdz not_xx	Australia	wlp_au_g03.txt	Department goes in pursuit of whistleblowers	General	http://www.theage.com.au/victoria/department-goes-in-pursuit-of-whistleblowers-20120919-26712.html	550	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=74	114555004	114555005
76	633144	impostor had assistance from an unsworn police officer . &lt;p&gt;  A 25-year-old custody officer working the Perth Watch House facility	<<< was stood >>>	down on Friday as Internal Affairs Unit detectives investigated whether there were links between the two men , police said	impostor_nn1 had_vhd assistance_nn1 from_ii an_at1 unsworn_jj police_nn2 officer_nn1 ._. &lt;p&gt; _null A_at1_zz1 25-year-old_jj custody_nn1 officer_nn1 working_vvg the_at Perth_np1 Watch_nn1_vv0 House_nn1 facility_nn1	<<< was_vbdz stood_vvn@ >>>	down_rp on_ii Friday_npd1 as_csa Internal_jj Affairs_nn2 Unit_nn1 detectives_nn2 investigated_vvd_vvn whether_csw there_ex were_vbdr links_nn2 between_ii the_at two_mc men_nn2 ,_, police_nn2 said_vvd	Australia	wlp_au_g03.txt	Teenage police impostor 'may have been helped by custody officer	General	http://www.perthnow.com.au/news/teen-dressed-as-cop-worked-in-police-lock-up/story-e6frg12c-1226384627072	607	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=75	116718809	116718810
77	641758	his school records to help build a case on the boy . The chief of police , Bill Lee ,	<<< was stood >>>	down due to his handling of the case . Lawyers have come and gone , the FBI are now involved	his_appge school_nn1 records_nn2_vvz@ to_to help_vvi build_vvi a_at1 case_nn1 on_ii the_at boy_nn1 ._. The_at chief_nn1 of_io police_nn2 ,_, Bill_np1 Lee_np1 ,_,	<<< was_vbdz stood_vvn@ >>>	down_rp due_ii21 to_ii22 his_appge handling_nn1 of_io the_at case_nn1 ._. Lawyers_nn2 have_vh0 come_vvn and_cc gone_vvn ,_, the_at FBI_np1 are_vbr now_rt involved_vvn_vvd	Australia	wlp_au_g03.txt	You have the right to remain moronic - the stupidest laws in the world	General	http://disaffectedmiddleclass.com/you-have-the-right-to-remain-moronic-the-stupidest-laws-in-the-world/	1855	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=76	116941312	116941313
78	663949	2010 he was fined and warned for his rowdy behaviour at an indoor cricket tournament . &lt;p&gt;  And so Ryder	<<< was stood >>>	down from International cricket @ @ @ @ @ @ @ @ @ @ he may have a problem with	2010_mc he_pphs1 was_vbdz fined_vvn and_cc warned_vvn for_if his_appge rowdy_jj behaviour_nn1 at_ii an_at1 indoor_jj cricket_nn1 tournament_nn1 ._. &lt;p&gt; _null And_cc so_rr_cs@ Ryder_np1	<<< was_vbdz stood_vvn@ >>>	down_rp from_ii International_jj cricket_nn1 @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii he_pphs1 may_vm have_vhi a_at1 problem_nn1 with_iw	Australia	wlp_au_g03.txt	Do players off contract deserve duty of care? | The Roar	General	http://www.theroar.com.au/2012/08/30/should-there-be-a-duty-of-care-for-uncontracted-players/	1491	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=77	117721761	117721762
79	766944	Simmers-Walpow ( as cited in Roberts et al , 1994 , p. 2 ) ,  non-response is analagous to	<<< being stood >>>	up for a date  . It is easy to see that this may have a profound effect on students	Simmers-Walpow_np1 (_( as_csa cited_vvn in_ii Roberts_np1 et_ra21 al_ra22 ,_, 1994_mc ,_, p._nn1_nnu 2_mc )_) ,_,  non-response_nn1 is_vbz analagous_jj to_ii	<<< being_vbg stood_vvn@ >>>	up_rp for_if a_at1 date_nn1  ._. It_pph1 is_vbz easy_jj to_to see_vvi that_cst this_dd1 may_vm have_vhi a_at1 profound_jj effect_nn1 on_ii students_nn2	Australia	wlp_au_g03.txt	The use of E-mail in the L2 Classroom: An Overview	General	http://www.usq.edu.au/users/sonjb/sllt/1/Kupelian01.htm	2094	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=78	121075238	121075239
80	788852	as possible , go to the toilet regularly , always have plenty of towels or tampons and try not to	<<< be stood >>>	up or walking too much . &lt;h&gt;  Bernard Zuel &lt;p&gt;  For fans of INXS there will be no overwhelming emotion	as_csa possible_jj ,_, go_vv0 to_ii the_at toilet_nn1 regularly_rr ,_, always_rr have_vh0 plenty_pn of_io towels_nn2 or_cc tampons_nn2 and_cc try_vv0 not_xx to_to	<<< be_vbi stood_vvn@ >>>	up_rp or_cc walking_vvg too_rg much_da1_rr ._. &lt;h&gt; _null Bernard_np1 Zuel_np1 &lt;p&gt; _null For_if fans_nn2 of_io INXS_np1 there_ex will_vm be_vbi no_at overwhelming_jj emotion_nn1	Australia	wlp_au_g03.txt	Is it normal to have your period for more than 7 days? - Yahoo!7	General	http://au.answers.yahoo.com/question/index?qid=20110714013432AAfBaYa	300	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=79	121728192	121728193
81	6562	 . &lt;p&gt;  We can now reveal investigative journalist David Murray spoke to the counsellor ( who has allegedly now	<<< been stood >>>	down ) . You 'll see for yourselves that the woman in question is far from apologetic for her remarks	 ._. &lt;p&gt; _null We_ppis2 can_vm now_rt reveal_vvi investigative_jj journalist_nn1 David_np1 Murray_np1 spoke_vvd to_ii the_at counsellor_nn1 (_( who_pnqs has_vhz allegedly_rr now_rt	<<< been_vbn stood_vvn@ >>>	down_rp )_) ._. You_ppy 'll_vm see_vvi for_if yourselves_ppx2 that_cst the_at woman_nn1 in_ii question_nn1 is_vbz far_rg21 from_rg22 apologetic_jj for_if her_appge remarks_nn2	Australia	wlp_au_g04.txt	Australian Breastfeeding Association | Baby formula is a little bit like	General	http://www.mamamia.com.au/parenting/australian-breastfeeding-association-telling-parents-formula-is-like-aids/	22679	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=80	122191204	122191205
82	6562	ABA and doing the organisation damage update : according to the ABA , the counsellor in the story above has	<<< been stood >>>	down pending an investigation . &lt;p&gt;  We have no doubt the ABA will read this post today . And what	ABA_nn1_np1 and_cc doing_vdg the_at organisation_nn1 damage_nn1 update_nn1_vv0 :_: according_ii21 to_ii22 the_at ABA_nn1_np1 ,_, the_at counsellor_nn1 in_ii the_at story_nn1 above_rl has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp pending_ii an_at1 investigation_nn1 ._. &lt;p&gt; _null We_ppis2 have_vh0 no_rr21 doubt_rr22 the_at ABA_nn1_np1 will_vm read_vvi this_dd1 post_nn1 today_rt ._. And_cc what_ddq	Australia	wlp_au_g04.txt	Australian Breastfeeding Association | Baby formula is a little bit like	General	http://www.mamamia.com.au/parenting/australian-breastfeeding-association-telling-parents-formula-is-like-aids/	22679	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=81	122192236	122192237
83	6562	Class . These comments reported in the media are not the view of the Association and the counsellor involved has	<<< been stood >>>	down from all duties . In addition , the Association will conduct an internal review of all its Breastfeeding Education	Class_nn1 ._. These_dd2 comments_nn2 reported_vvn_vvd in_ii the_at media_nn are_vbr not_xx the_at view_nn1 of_io the_at Association_nn1 and_cc the_at counsellor_nn1 involved_vvn has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp from_ii all_db duties_nn2 ._. In_rr21 addition_rr22 ,_, the_at Association_nn1 will_vm conduct_vvi an_at1 internal_jj review_nn1 of_io all_db its_appge Breastfeeding_nn1_jj@ Education_nn1	Australia	wlp_au_g04.txt	Australian Breastfeeding Association | Baby formula is a little bit like	General	http://www.mamamia.com.au/parenting/australian-breastfeeding-association-telling-parents-formula-is-like-aids/	22679	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=82	122200767	122200768
84	100678	offenders , destroys evidence and moves priests to protect the good name of the church  and said that he	<<< was stood >>>	down from his investigation while he was compiling  explosive  evidence from a key witness . &lt;p&gt;  His claims	offenders_nn2 ,_, destroys_vvz evidence_nn1 and_cc moves_vvz_nn2 priests_nn2 to_to protect_vvi the_at good_jj name_nn1 of_io the_at church_nn1  and_cc said_vvd that_cst he_pphs1	<<< was_vbdz stood_vvn@ >>>	down_rp from_ii his_appge investigation_nn1 while_cs he_pphs1 was_vbdz compiling_vvg  explosive_jj  evidence_nn1 from_ii a_at1 key_jj witness_nn1 ._. &lt;p&gt; _null His_appge claims_nn2	Australia	wlp_au_g04.txt	Tony Abbott supports royal commission into child sex abuse | Perth	General	http://www.perthnow.com.au/news/national/child-abuse-inquiry-needed-sooner-rather-than-later/story-fndor8bb-1226515004476	1824	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=83	125541139	125541140
85	118674	on its website . &lt;p&gt;   On the basis of those admissions and the subsequent charges , Mr Oliver has	<<< been stood >>>	down from riding ... pending a hearing before a stewards ' panel on Tuesday , 20 November 2012 . 	on_ii_rp@ its_appge website_nn1 ._. &lt;p&gt; _null  On_ii the_at basis_nn1 of_io those_dd2 admissions_nn2 and_cc the_at subsequent_jj charges_nn2 ,_, Mr_nnb Oliver_np1 has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp from_ii riding_vvg_nn1@ ..._... pending_ii a_at1 hearing_nn1 before_ii_cs a_at1 stewards_nn2 '_ge panel_nn1 on_ii Tuesday_npd1 ,_, 20_mc November_npm1 2012_mc ._. 	Australia	wlp_au_g04.txt	Top Australian jockey charged in betting scandal - The West Australian	General	http://au.news.yahoo.com/thewest/sport/a/-/racing/15366534/top-australian-jockey-charged-in-betting-scandal/	380	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=84	126192731	126192732
86	270075	Johns @ @ @ @ @ @ @ @ @ @ Group Sex saga came to light recently . Johns	<<< was stood >>>	down from his assistant coaching role at the Melbourne Storm . He was stood down by Channel Nine from his	Johns_np1 @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii Group_nn1 Sex_nn1 saga_nn1 came_vvd to_ii light_nn1 recently_rr ._. Johns_np1	<<< was_vbdz stood_vvn@ >>>	down_rp from_ii his_appge assistant_jj_nn1 coaching_nn1_vvg role_nn1 at_ii the_at Melbourne_np1 Storm_nn1 ._. He_pphs1 was_vbdz stood_vvn@ down_rp by_ii Channel_nn1 Nine_mc from_ii his_appge	Australia	wlp_au_g04.txt	Newcastle Would Be Completely Stupid To Sign Matthew Johns As	General	http://www.leaguefreak.com/newcastle-would-be-completely-stupid-to-sign-matthew-johns-as-coach-1148/	1119	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=85	130224970	130224971
87	270075	came to light recently . Johns was stood down from his assistant coaching role at the Melbourne Storm . He	<<< was stood >>>	down by Channel Nine from his commentary duties . &lt;p&gt;  Johns has not ruled out applying for the Newcastle coaching	came_vvd to_ii light_nn1 recently_rr ._. Johns_np1 was_vbdz stood_vvn@ down_rp from_ii his_appge assistant_jj_nn1 coaching_nn1_vvg role_nn1 at_ii the_at Melbourne_np1 Storm_nn1 ._. He_pphs1	<<< was_vbdz stood_vvn@ >>>	down_rp by_ii Channel_nn1 Nine_mc from_ii his_appge commentary_nn1 duties_nn2 ._. &lt;p&gt; _null Johns_np1 has_vhz not_xx ruled_vvn out_rp applying_vvg for_if the_at Newcastle_np1 coaching_nn1_vvg	Australia	wlp_au_g04.txt	Newcastle Would Be Completely Stupid To Sign Matthew Johns As	General	http://www.leaguefreak.com/newcastle-would-be-completely-stupid-to-sign-matthew-johns-as-coach-1148/	1119	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=86	130224984	130224985
88	270474	because why would you want to stand up and out ! &lt;p&gt;  For goodness sakes ! Alan Jones Needs to	<<< be stood >>>	down right now , and we all need to have a good hard look at ourselves and our behaviour and	because_cs why_rrq would_vm you_ppy want_vvi to_to stand_vvi up_rp and_cc out_rp !_! &lt;p&gt; _null For_if goodness_nn1 sakes_nn2 !_! Alan_np1 Jones_np1 Needs_vvz to_to	<<< be_vbi stood_vvn@ >>>	down_rp right_rr now_rt ,_, and_cc we_ppis2 all_db need_vv0 to_to have_vhi a_at1 good_jj hard_jj_rr look_nn1_vv0 at_ii ourselves_ppx2 and_cc our_appge behaviour_nn1 and_cc	Australia	wlp_au_g04.txt	Put your hand up if you're an offensive bastard | Article | The Punch	General	http://www.thepunch.com.au/articles/put-your-hand-up-if-youre-an-offensive-bastard/	20778	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=87	130246695	130246696
89	273270	, but what about the lad ? What was the rush to get him out of there ? She has	<<< been stood >>>	down ... That is the good news.Now we better get a proper investigation and not a bloody cover up !	,_, but_ccb what_ddq about_ii the_at lad_nn1 ?_? What_ddq was_vbdz the_at rush_nn1 to_to get_vvi him_ppho1 out_ii21 of_ii22 there_rl ?_? She_pphs1 has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp ..._... That_dd1 is_vbz the_at good_jj news.Now_nnu we_ppis2 better_rrr get_vvi a_at1 proper_jj investigation_nn1 and_cc not_xx a_at1 bloody_rr_jj cover_vv0_nn1 up_rp !_!	Australia	wlp_au_g04.txt	Has Karen Cleave potentially perverted the course of Justice? Cops	General	http://aussiecriminals.com.au/2012/04/20/has-karen-cleave-potentially-perverted-the-course-of-justice-cops-quiz-watchdog-over-car-crash/	1557	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=88	130340961	130340962
90	273270	proper investigation and not a bloody cover up ! &lt;p&gt;  THE woman responsible for policing public service ethical standards has	<<< been stood >>>	down as police investigate a crash involving her government car . &lt;p&gt;  Karen Cleave had allegedly told police she was	proper_jj investigation_nn1 and_cc not_xx a_at1 bloody_rr_jj cover_vv0_nn1 up_rp !_! &lt;p&gt; _null THE_at woman_nn1 responsible_jj for_if policing_vvg public_jj_nn1 service_nn1 ethical_jj standards_nn2 has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp as_csa_ii@ police_nn2 investigate_vv0 a_at1 crash_nn1 involving_vvg her_appge government_nn1 car_nn1 ._. &lt;p&gt; _null Karen_np1 Cleave_np1 had_vhd allegedly_rr told_vvn police_nn2 she_pphs1 was_vbdz	Australia	wlp_au_g04.txt	Has Karen Cleave potentially perverted the course of Justice? Cops	General	http://aussiecriminals.com.au/2012/04/20/has-karen-cleave-potentially-perverted-the-course-of-justice-cops-quiz-watchdog-over-car-crash/	1557	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=89	130340994	130340995
91	273270	crash &lt;p&gt;  By Danny Morgan ABC news &lt;p&gt;  The head of the Victorian public service 's ethical standards agency has	<<< been stood >>>	down after it was alleged she made a false report to police . &lt;p&gt;  In February the chief executive of	crash_nn1 &lt;p&gt; _null By_ii Danny_np1 Morgan_np1 ABC_np1 news_nn1 &lt;p&gt; _null The_at head_nn1 of_io the_at Victorian_jj public_jj_nn1 service_nn1 's_ge ethical_jj standards_nn2 agency_nn1 has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp after_cs_ii it_pph1 was_vbdz alleged_vvn she_pphs1 made_vvd a_at1 false_jj report_nn1 to_ii police_nn2 ._. &lt;p&gt; _null In_ii February_npm1 the_at chief_jj_nn1 executive_nn1 of_io	Australia	wlp_au_g04.txt	Has Karen Cleave potentially perverted the course of Justice? Cops	General	http://aussiecriminals.com.au/2012/04/20/has-karen-cleave-potentially-perverted-the-course-of-justice-cops-quiz-watchdog-over-car-crash/	1557	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=90	130341477	130341478
92	455075	wait by the elevators , and the minutes tick by . &lt;p&gt;  By 6pm you just know you ? ve	<<< been stood >>>	up ... &lt;h&gt;  But what about her ? &lt;p&gt;  Well , she was there before 5pm . She was waiting	wait_vv0 by_ii the_at elevators_nn2 ,_, and_cc the_at minutes_nnt2 tick_vv0 by_rp%_ii ._. &lt;p&gt; _null By_ii 6pm_ra you_ppy just_rr know_vv0 you_ppy ?_? ve_nn1	<<< been_vbn stood_vvn@ >>>	up_rp ..._... &lt;h&gt; _null But_ccb what_ddq about_ii her_ppho1 ?_? &lt;p&gt; _null Well_rr ,_, she_pphs1 was_vbdz there_rl before_ii 5pm_ra ._. She_pphs1 was_vbdz waiting_vvg	Australia	wlp_au_g04.txt	Aussiespeak: Australian Language, Idioms, Terms, Words, Phrases	General	http://goaustralia.about.com/cs/language/a/aussiespeak.htm	347	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=91	134498086	134498087
93	455075	on the first floor but when you didn ? t arrive by 6pm , she just knew she ? d	<<< been stood >>>	up . &lt;p&gt;  Unfortunately , the American knows the ground floor of a building as the first floor . Any	on_ii the_at first_md floor_nn1 but_ccb when_cs_rrq you_ppy didn_vv0 ?_? t_zz1 arrive_vv0 by_ii 6pm_ra ,_, she_pphs1 just_rr knew_vvd she_pphs1 ?_? d_zz1	<<< been_vbn stood_vvn@ >>>	up_rp ._. &lt;p&gt; _null Unfortunately_rr ,_, the_at American_nn1@_jj knows_vvz the_at ground_nn1 floor_nn1 of_io a_at1 building_nn1 as_ii_csa the_at first_md floor_nn1 ._. Any_dd	Australia	wlp_au_g04.txt	Aussiespeak: Australian Language, Idioms, Terms, Words, Phrases	General	http://goaustralia.about.com/cs/language/a/aussiespeak.htm	347	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=92	134498136	134498137
94	545873	your perception , not in any way a fact . I do n't have an opinion on whether he should	<<< be stood >>>	down or not . I think it has more to do with his attitude and what he really wants that	your_appge perception_nn1 ,_, not_xx in_ii any_dd way_nn1 a_at1 fact_nn1 ._. I_ppis1 do_vd0 n't_xx have_vhi an_at1 opinion_nn1 on_ii whether_csw he_pphs1 should_vm	<<< be_vbi stood_vvn@ >>>	down_rp or_cc not_xx ._. I_ppis1 think_vv0 it_pph1 has_vhz more_dar to_to do_vdi with_iw his_appge attitude_nn1 and_cc what_ddq he_pphs1 really_rr wants_vvz that_cst_dd1	Australia	wlp_au_g04.txt	Ban Quade for a year: Connolly | The Roar	General	http://www.theroar.com.au/2012/10/20/ban-quade-for-a-year-connolly/	3382	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=93	137235923	137235924
