Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Source file	Title	Type of text	Source URL	Word count	URL	Matchbegin corpus position	Matchend corpus position
798	3057696	. Days . &lt;p&gt;  ' Liberating ' does n't quite do it justice . &lt;p&gt;  At one point , we	<<< were sat >>>	by a lake some 10,000ft up , the air was thin , the horses were thirsty and the winners were	._. Days_nnt2 ._. &lt;p&gt; _null '_ge Liberating_jj '_@_ge does_vdz n't_xx quite_rr@ do_vdi it_pph1 justice_nn1 ._. &lt;p&gt; _null At_ii one_mc1 point_nn1 ,_, we_ppis2	<<< were_vbdr sat_vvn >>>	by_ii a_at1 lake_nn1 some_dd 10,000ft_nnu up_rp ,_, the_at air_nn1 was_vbdz thin_jj ,_, the_at horses_nn2 were_vbdr thirsty_jj and_cc the_at winners_nn2 were_vbdr	Great Britain	wlp_gb_b07.txt	Being up in the Mountains | whatleydude	Blog	http://whatleydude.com/2009/12/being-up-in-the-mountains-jul-25th/	179	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=797	499425783	499425784
799	3057888	screamed at the top of someones voice no more @ @ @ @ @ @ @ @ @ @ 've	<<< been sat >>>	. It 's totally uncalled for , completely out of proportion with what has happened and because it 's in	screamed_vvn_vvd at_ii the_at top_nn1 of_io someones_nn2 voice_vv0@ no_at more_dar @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii 've_vhi	<<< been_vbn sat_vvn@ >>>	._. It_pph1 's_vbz totally_rr uncalled_jj for_if ,_, completely_rr out_ii21 of_ii22 proportion_nn1 with_iw what_ddq has_vhz happened_vvn and_cc because_cs it_pph1 's_vbz in_ii	Great Britain	wlp_gb_b07.txt	Bad supporter behaviour is not just exclusive to Leeds United � The	Blog	http://widthofapost.com/2012/10/22/bad-supporter-behaviour-is-not-just-exclusive-to-leeds-united/	2630	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=798	499451031	499451032
800	3059786	gods . Oh , that could be a topic for ' Part 2 ? ! - mgk I think I	<<< was sat >>>	nearby during the Newcastle game ! &lt;p&gt;  Even funnier was listening to ' Appy ' Arry on the mighty talkshite	gods_nn2 ._. Oh_uh ,_, that_dd1 could_vm be_vbi a_at1 topic_nn1 for_if '_ge Part_nn1 2_mc ?_? !_! -_- mgk_nnu I_ppis1_zz1% think_vv0 I_ppis1	<<< was_vbdz sat_vvn@ >>>	nearby_rl during_ii the_at Newcastle_np1 game_nn1 !_! &lt;p&gt; _null Even_rr funnier_jjr was_vbdz listening_vvg to_to_ii '_ge Appy_np1 '_ge Arry_nn1 on_ii the_at mighty_jj talkshite_nn1	Great Britain	wlp_gb_b07.txt	A Cultured Left Foot - One Of Us Speaks - Making It Last	Blog	http://www.aclfarsenal.co.uk/arsenal/one-of-us-speaks-making-it-last/	11550	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=799	499684703	499684704
801	3059793	just working within tactical plans and using certain players . Would we refer to Ramsey as being dropped as he	<<< is sat >>>	on the bench twiddling his thumbs and probably getting frustrated at his lack of game time as Diaby makes the	just_rr working_vvg within_ii tactical_jj plans_nn2 and_cc using_vvg certain_jj players_nn2 ._. Would_vm we_ppis2 refer_vvi to_ii Ramsey_np1 as_csa being_vbg dropped_vvn as_csa he_pphs1	<<< is_vbz sat_vvn@ >>>	on_ii the_at bench_nn1 twiddling_vvg his_appge thumbs_nn2 and_cc probably_rr getting_vvg frustrated_jj_vvn at_ii his_appge lack_nn1 of_io game_nn1_jj% time_nnt1 as_csa_ii@ Diaby_np1_nn1 makes_vvz the_at	Great Britain	wlp_gb_b07.txt	A Cultured Left Foot - Return Of The Jack As Andrey Walks Away?	Blog	http://www.aclfarsenal.co.uk/arsenal/return-of-the-jack-as-andrey-walks-away/	13643	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=800	499773817	499773818
802	3059799	where you assume that DD is all of a sudden going to get any sort of say whatsoever . He	<<< is sat >>>	firmly on the outside ; why should SK all of a sudden bring him in ? Wishful thinking on your	where_rrq_cs you_ppy assume_vv0 that_cst_dd1 DD_nna is_vbz all_rr41 of_rr42 a_rr43 sudden_rr44 going_vvgk to_to get_vvi any_dd sort_rr21@_nn1 of_rr22_io say_vv0 whatsoever_ddqv ._. He_pphs1	<<< is_vbz sat_vvn@ >>>	firmly_rr on_ii the_at outside_jj_nn1@ ;_; why_rrq should_vm SK_np1 all_rr41 of_rr42 a_rr43 sudden_rr44 bring_vvi him_ppho1 in_rp@_ii ?_? Wishful_jj_np1@ thinking_nn1_vvg on_ii your_appge	Great Britain	wlp_gb_b07.txt	Arsenal Turf Wars and All The Transfer News That Mata's	Blog	http://www.aclfarsenal.co.uk/transfer-gossip/arsenal-turf-wars-and-all-the-transfer-news-that-matas/	14918	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=801	499827363	499827364
803	3060499	toe in a huge inflatable bubble coat , blue and white scarf and woolly gloves . My mum , who	<<< 's sat >>>	down to my left next to me , suggested I should stand up to get a better view of the	toe_nn1 in_ii a_at1 huge_jj inflatable_jj bubble_nn1 coat_nn1 ,_, blue_jj and_cc white_jj scarf_nn1 and_cc woolly_jj gloves_nn2 ._. My_appge mum_nn1 ,_, who_pnqs	<<< 's_vbz_vhz@ sat_vvn@ >>>	down_rp to_ii my_appge left_jj_nn1@ next_ii21 to_ii22 me_ppio1 ,_, suggested_vvd I_ppis1 should_vm stand_vvi up_rp to_to get_vvi a_at1 better_jjr view_nn1 of_io the_at	Great Britain	wlp_gb_b07.txt	Jason Jones - My Hero - A Great Advert For The Game	Blog	http://www.agreatadvertforthegame.com/2012/10/09/jason-jones-my-hero/	1242	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=802	499903818	499903819
804	3063787	finally been sent off to be fixed , and he 's due back Friday . In the meantime , I	<<< 'm sat >>>	alone in my college library typing this . It 's been a strange few weeks , getting back into the	finally_rr been_vbn sent_vvn off_rp to_to be_vbi fixed_vvn_jj ,_, and_cc he_pphs1 's_vbz due_jj back_nn1 Friday_npd1 ._. In_ii the_at meantime_nnt1 ,_, I_ppis1	<<< 'm_vbm sat_vvn@ >>>	alone_rr_jj in_ii my_appge college_nn1 library_nn1 typing_vvg_nn1 this_dd1 ._. It_pph1 's_vhz been_vbn a_at1 strange_jj few_da2 weeks_nnt2 ,_, getting_vvg back_rp into_ii the_at	Great Britain	wlp_gb_b07.txt	A Trickle Of Meaning: Woke up on the right side of the bed	Blog	http://www.atrickleofmeaning.com/2012/09/woke-up-on-right-side-of-bed.html	293	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=803	500329443	500329444
805	3063795	myself under pressure to return too early . Even my dad chimed in with ' you 're too clever to	<<< be sat >>>	at home ' - well what does this matter ? ? ? Its not a question of whether I 'm	myself_ppx1 under_ii pressure_nn1 to_to return_vvi too_rg early_rr_jj ._. Even_rr my_appge dad_nn1 chimed_vvd in_rp@ with_iw '_@ you_ppy 're_vbr too_rg clever_jj to_to	<<< be_vbi sat_vvn@ >>>	at_ii home_nn1 '_ge -_- well_rr what_ddq does_vdz this_dd1 matter_vvi ?_? ?_? ?_? Its_appge not_xx a_at1 question_nn1 of_io whether_csw I_ppis1 'm_vbm	Great Britain	wlp_gb_b07.txt	Attachment Mummy: A Minimum Wage for Stay at Home Mums?	Blog	http://www.attachmentmummy.com/2012/10/a-minimum-wage-for-stay-at-home-mums.html	2175	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=804	500343884	500343885
806	3064291	up and going to the loo etc . Then the film starts and the picture is poor and the kids	<<< are sat >>>	texting and flicking popcorn about ! &lt;p&gt;  I am just getting into the AV side of things , and really	up_rp and_cc going_vvg to_ii the_at loo_nn1 etc_ra ._. Then_rt the_at film_nn1 starts_vvz and_cc the_at picture_nn1 is_vbz poor_jj and_cc the_at kids_nn2	<<< are_vbr sat_vvn@ >>>	texting_vvg_jj@_nn1@ and_cc flicking_vvg popcorn_vv0_nn1 about_rp@_ii !_! &lt;p&gt; _null I_ppis1 am_vbm just_rr getting_vvg into_ii the_at AV_nn1 side_nn1 of_io things_nn2 ,_, and_cc really_rr	Great Britain	wlp_gb_b07.txt	As Jack Nicholson asks, in one of his finer films... | AVForums.com	Blog	http://www.avforums.com/forums/blu-ray-dvd-players/603918-jack-nicholson-asks-one-his-finer-films.html	1129	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=805	500366369	500366370
807	3065293	scripts ' shows the key reason why this production fails on so many levels . Those lonely nights must have	<<< been sat >>>	out with Teletubbies and Chuckle Brothers playing on his TV whilst he put pen to paper . He failed to	scripts_nn2 '_ge shows_nn2_vvz the_at key_jj_nn1 reason_nn1 why_rrq this_dd1 production_nn1 fails_vvz on_rp@_ii so_rg many_da2 levels_nn2 ._. Those_dd2 lonely_jj nights_nnt2 must_vm have_vhi	<<< been_vbn sat_vvn@ >>>	out_rp with_iw Teletubbies_nn2_np1 and_cc Chuckle_vv0_nn1 Brothers_nn2 playing_vvg on_ii_rp@ his_appge TV_nn1 whilst_cs he_pphs1 put_vvd pen_nn1 to_ii paper_nn1 ._. He_pphs1 failed_vvd to_to	Great Britain	wlp_gb_b07.txt	BBC - BBC TV blog: The inspiration behind Outcasts	Blog	http://www.bbc.co.uk/blogs/tv/2011/02/outcasts.shtml	13318	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=806	500791927	500791928
808	3066985	but I seem to often find myself drawn to my old favourites . &lt;p&gt;  The same is true when I	<<< 'm sat >>>	at a bar , staring at the back bar and pondering what to drink first . I always smile when	but_ccb I_ppis1 seem_vv0 to_to often_rr find_vvi myself_ppx1 drawn_vvn to_ii my_appge old_jj favourites_nn2 ._. &lt;p&gt; _null The_at same_da is_vbz true_jj when_cs I_ppis1	<<< 'm_vbm sat_vvn@ >>>	at_ii a_at1 bar_nn1 ,_, staring_vvg at_ii the_at back_nn1_jj@ bar_nn1 and_cc pondering_vvg what_ddq to_to drink_vvi first_md ._. I_ppis1 always_rr smile_vv0 when_rrq_cs	Great Britain	wlp_gb_b07.txt	A Little Bit of Favouritism | Bitters &amp; Twisted	Blog	http://www.bittersandtwisted.com/content/little-bit-favouritism	2209	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=807	500968705	500968706
809	3071887	and the two thousand delegates attending get a directory beforehand to find out who 's there and where they 'll	<<< be sat >>>	then go and pitch for a full day of the three day festival instead of just the hour and a	and_cc the_at two_mc thousand_nno delegates_nn2 attending_vvg get_vv0 a_at1 directory_nn1 beforehand_rr to_to find_vvi out_rp who_pnqs 's_vbz there_rl and_cc where_cs_rrq they_pphs2 'll_vm	<<< be_vbi sat_vvn@ >>>	then_rt go_vv0 and_cc pitch_vv0 for_if a_at1 full_jj day_nnt1 of_io the_at three_mc day_nnt1 festival_nn1 instead_ii21_cs21% of_ii22_cs22 just_rr the_at hour_nnt1 and_cc a_at1	Great Britain	wlp_gb_b07.txt	The Great British Pitchfest ~ You're In The Room!	Blog	http://www.chrisjonesblog.com/2012/10/the-great-british-pitchfest-in-the-room.html	986	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=808	501439067	501439068
810	3074499	arms . I was escorted to jail , until I could prove my innocence . &lt;p&gt;  Six Months Later I	<<< was sat >>>	in the interrogation chair once again as the Overseer and Spymaster attempted to pry a confession from me . Whether	arms_nn2 ._. I_ppis1 was_vbdz escorted_vvn to_to jail_vvi ,_, until_cs I_ppis1 could_vm prove_vvi my_appge innocence_nn1 ._. &lt;p&gt; _null Six_mc Months_nnt2 Later_rrr I_ppis1	<<< was_vbdz sat_vvn@ >>>	in_ii the_at interrogation_nn1 chair_nn1 once_rr21 again_rr22 as_csa_ii the_at Overseer_nn1 and_cc Spymaster_np1_nn1 attempted_vvd_vvn to_to pry_vvi a_at1 confession_nn1 from_ii me_ppio1 ._. Whether_csw	Great Britain	wlp_gb_b07.txt	Dishonored Diary | Cracking Ace	Blog	http://www.crackingace.com/dishonored-diary/	2662	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=809	501721318	501721319
811	3076589	one of the biggest factors in designing an interior . Also one needs to consider how many people can comfortably	<<< be sat >>>	in the space given . But ergonomics is not to be forgotten . People vary dramatically in size and proportion	one_mc1 of_io the_at biggest_jjt factors_nn2 in_ii designing_vvg an_at1 interior_nn1_jj ._. Also_rr one_pn1_mc1 needs_vvz to_to consider_vvi how_rgq@ many_da2 people_nn can_vm comfortably_rr	<<< be_vbi sat_vvn@ >>>	in_ii the_at space_nn1 given_vvn ._. But_ccb ergonomics_nn1 is_vbz not_xx to_to be_vbi forgotten_vvn ._. People_nn vary_vv0 dramatically_rr in_ii size_nn1 and_cc proportion_nn1_vv0@	Great Britain	wlp_gb_b07.txt	What is Automotive Design and Engineering and Why is it so	Blog	http://www.degreeschoolguides.com/what-is-automotive-design-and-engineering-and-why-is-it-so-important-in-todays-wold/	2712	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=810	501914296	501914297
812	3078687	- then she > froze up for a few seconds then went all pink . My > mate of 12	<<< was sat >>>	there the whole time with us , > he was as startled as me. > When she regained her composure	-_- then_rt she_pphs1 >_fo froze_vvd up_rp for_if a_at1 few_da2 seconds_nnt2 then_rt went_vvd all_db_rr@ pink_jj ._. My_appge >_fo mate_nn1 of_io 12_mc	<<< was_vbdz sat_vvn@ >>>	there_rl the_at whole_jj time_nnt1 with_iw us_ppio2 ,_, >_fo he_pphs1 was_vbdz as_rg startled_jj as_csa me._nnu >_fo When_rrq_cs she_pphs1 regained_vvd her_appge composure_nn1	Great Britain	wlp_gb_b07.txt	Re: When I was 14 years old... - The East Dulwich Forum	Blog	http://www.eastdulwichforum.co.uk/forum/read.php?20,976709,976958	3090	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=811	502156615	502156616
813	3078691	school of thought . You always risk hitting a snarl-up of some kind on that route . I 'd rather	<<< be sat >>>	at the other end with a coffee , than en-route wondering if we 'll get there . And sometimes ,	school_nn1 of_io thought_nn1 ._. You_ppy always_rr risk_vv0 hitting_vvg a_at1 snarl-up_nn1 of_io some_dd kind_nn1 on_ii that_dd1 route_nn1 ._. I_ppis1 'd_vm rather_rr	<<< be_vbi sat_vvn@ >>>	at_ii the_at other_jj end_nn1 with_iw a_at1 coffee_nn1 ,_, than_csn en-route_nn1_jj wondering_vvg_nn1% if_cs_csw@ we_ppis2 'll_vm get_vvi there_rl ._. And_cc sometimes_rt ,_,	Great Britain	wlp_gb_b07.txt	Getting to Heathrow (or Paddington) early morning - The East	Blog	http://www.eastdulwichforum.co.uk/forum/read.php?5,875619,993700	596	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=812	502161979	502161980
814	3079298	that I need do that ; surely things will have settled down by &lt;p&gt;  At the end of 2010 I	<<< was sat >>>	listening to a young man talking about his Atlantic row that he had completed single-handed earlier that year , barely	that_cst I_ppis1 need_vm@ do_vdi that_dd1 ;_; surely_rr things_nn2 will_vm have_vhi settled_vvn down_rp by_rt21 &lt;p&gt; _null At_ii the_at end_nn1 of_io 2010_mc I_ppis1	<<< was_vbdz sat_vvn@ >>>	listening_vvg_nn1_jj to_ii a_at1 young_jj man_nn1 talking_vvg about_ii his_appge Atlantic_np1 row_vv0_nn1 that_cst he_pphs1 had_vhd completed_vvn single-handed_rr earlier_rrr that_dd1 year_nnt1 ,_, barely_rr	Great Britain	wlp_gb_b07.txt	James Ketchell's Ultimate Global Triathlon attempt - Ecademy	Blog	http://www.ecademy.com/node.php?id=180415	883	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=813	502228873	502228874
815	3081687	I travelled a lot ( still do ) and wanted a hobby to enjoy on an evening , rather than	<<< being sat >>>	in a hotel room or bar . &lt;p&gt;  I struggled to come to terms with the camera so enrolled on	I_ppis1 travelled_vvd a_at1_rr21@ lot_nn1_rr22 (_( still_rr do_vd0 )_) and_cc wanted_vvd a_at1 hobby_nn1 to_to enjoy_vvi on_ii_rp@ an_at1 evening_nnt1 ,_, rather_ii21 than_ii22	<<< being_vbg sat_vvn@ >>>	in_ii a_at1 hotel_nn1 room_nn1 or_cc bar_nn1 ._. &lt;p&gt; _null I_ppis1 struggled_vvd to_to come_vvi to_ii terms_nn2 with_iw the_at camera_nn1 so_rr enrolled_vvn_vvd on_ii	Great Britain	wlp_gb_b07.txt	7 More Top Landscape Photographers	Blog	http://www.ephotozine.com/article/7-more-top-landscape-photographers-20320	3264	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=814	502439883	502439884
816	3083389	not want to be in the best car possible which over the last few seasons has been the one Vettel	<<< is sat >>>	in ? &lt;p&gt;  I did n't mean that . When he originally moved to an ailing Ferrari did you really	not_xx want_vvi to_to be_vbi in_ii the_at best_jjt car_nn1 possible_jj which_ddq over_ii the_at last_md few_da2 seasons_nnt2 has_vhz been_vbn the_at one_mc1 Vettel_nn1@_np1	<<< is_vbz sat_vvn@ >>>	in_ii_rp@ ?_? &lt;p&gt; _null I_ppis1 did_vdd n't_xx mean_vvi that_dd1 ._. When_cs_rrq he_pphs1 originally_rr moved_vvn_vvd to_ii an_at1 ailing_jj Ferrari_np1 did_vdd you_ppy really_rr	Great Britain	wlp_gb_b07.txt	Montezemolo denies reports Vettel will join Ferrari - F1 Fanatic	Blog	http://www.f1fanatic.co.uk/2012/10/15/montezemolo-denies-reports-vettel-join-ferrari/	11689	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=815	502593937	502593938
817	3087992	to be right or in a successful partnership ? &lt;p&gt;  It occurred to me the other morning , as I	<<< was sat >>>	in my car on the M25 listening to a particularly non productive round of aggressive questions and defensive answers on	to_to be_vbi right_jj_rr or_cc in_ii a_at1 successful_jj partnership_nn1 ?_? &lt;p&gt; _null It_pph1 occurred_vvd to_ii me_ppio1 the_at other_jj morning_nnt1 ,_, as_csa I_ppis1	<<< was_vbdz sat_vvn@ >>>	in_ii my_appge car_nn1 on_ii the_at M25_fo listening_vvg_nn1 to_ii a_at1 particularly_rr non_fu productive_jj round_nn1@_jj of_io aggressive_jj questions_nn2 and_cc defensive_jj answers_nn2 on_ii	Great Britain	wlp_gb_b07.txt	Do you want to be right or in a successful partnership?	Blog	http://www.futureengagedeliver.com/10/2012/do-you-want-to-be-right-or-in-a-successful-partnership/	313	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=816	503082665	503082666
818	3089591	I changed into outfit two as I 'd gotten almost all my clothes out this morning and this red shirt	<<< was sat >>>	on my bed . Then , I quite liked the way it looked so I thought I 'd photograph that	I_ppis1 changed_vvd into_ii outfit_nn1 two_mc as_csa I_ppis1 'd_vhd gotten_vvn almost_rr all_db my_appge clothes_nn2 out_rp_ii% this_dd1 morning_nnt1 and_cc this_dd1 red_jj_nn1 shirt_nn1	<<< was_vbdz sat_vvn@ >>>	on_ii my_appge bed_nn1 ._. Then_rt ,_, I_ppis1 quite_rr@ liked_vvd the_at way_nn1 it_pph1 looked_vvd so_rr_cs@ I_ppis1 thought_vvd I_ppis1 'd_vm photograph_vvi that_cst_dd1	Great Britain	wlp_gb_b07.txt	girlnextdoorfashion: Three for the Price of One	Blog	http://www.girlnextdoorfashion.net/2012/10/three-for-price-of-one.html	1084	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=817	503219999	503220000
819	3092885	I have given up looking for something , gone off and had a cup of tea and while I 've	<<< been sat >>>	chilling out the answer has magically popped in to my head as to where I left or last saw that	I_ppis1 have_vh0 given_vvn up_rp looking_vvg for_if something_pn1 ,_, gone_vvn off_rp and_cc had_vhd_vhn@ a_at1 cup_nn1 of_io tea_nn1 and_cc while_cs I_ppis1 've_vh0	<<< been_vbn sat_vvn@ >>>	chilling_vvg%_jj out_rp_ii% the_at answer_nn1 has_vhz magically_rr popped_vvn in_rp@ to_ii my_appge head_nn1 as_ii21 to_ii22 where_rrq I_ppis1 left_vvd or_cc last_md saw_vvd_nn1@ that_cst_dd1	Great Britain	wlp_gb_b07.txt	Can A Psychic Help You Find Lost Objects? | Helen Leathers	Blog	http://www.helenleathers.com/can-a-psychic-help-you-find-lost-objects/	1644	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=818	503784642	503784643
820	3094096	@ @ @ prepared ahead -- but they were still very enjoyable . &lt;p&gt;  Dcor / ambience : Considering I	<<< was sat >>>	in a tent the middle of a field in Sefton Park the pop up had a great atmosphere -- a	@_ii @_ii @_ii prepared_vvn ahead_rl --_zz but_ccb they_pphs2 were_vbdr still_rr very_rg enjoyable_jj ._. &lt;p&gt; _null Dcor_nn1_np1@ /_fo ambience_nn1 :_: Considering_cs I_ppis1	<<< was_vbdz sat_vvn@ >>>	in_ii a_at1 tent_nn1 the_at middle_nn1 of_io a_at1 field_nn1 in_ii Sefton_np1 Park_nn1 the_at pop_nn1_vv0 up_rp had_vhd a_at1 great_jj atmosphere_nn1 --_zz a_at1	Great Britain	wlp_gb_b07.txt	Hungry Hoss: London Carriage Works Pop up in the Park	Blog	http://www.hungryhoss.com/2012/09/london-carriage-works-pop-up-in-park.html	722	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=819	503868416	503868417
821	3094594	we now shared with our bank colleagues : &lt;p&gt;   You will not believe this mate ... but Quarter Past	<<< is sat >>>	here , feet up on the desk , arms across his chest and sleeping like a baby .  I	we_ppis2 now_rt shared_vvn_vvd with_iw our_appge bank_nn1 colleagues_nn2 :_: &lt;p&gt; _null  You_ppy will_vm not_xx believe_vvi this_dd1 mate_nn1 ..._... but_ccb Quarter_nn1 Past_rl_nn1	<<< is_vbz sat_vvn@ >>>	here_rl ,_, feet_nn2 up_rp on_ii the_at desk_nn1 ,_, arms_nn2 across_ii his_appge chest_nn1 and_cc sleeping_vvg_nn1_jj like_ii a_at1 baby_nn1 ._.  I_ppis1	Great Britain	wlp_gb_b07.txt	It's Only a Game (Barclays: My Part in Their Downfall) - Ch 7 -12	Blog	http://www.idlelord.com/its-only-a-game-barclays-my-part-in-their-downfall-ch-7-12/	12206	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=820	503922002	503922003
822	3094686	now been placed , cover down , in the space between us .  I was this nine-year-old who would	<<< be sat >>>	in these interviews going , ' No , I 'm not anything like her , I 'm different because @	now_rt been_vbn placed_vvn ,_, cover_vv0 down_rp ,_, in_ii the_at space_nn1 between_ii us_ppio2 ._.  I_ppis1 was_vbdz this_dd1_rg% nine-year-old_jj who_pnqs would_vm	<<< be_vbi sat_vvn@ >>>	in_ii these_dd2 interviews_nn2 going_vvg ,_, '_@ No_uh ,_, I_ppis1 'm_vbm not_xx anything_pn1 like_ii her_ppho1 ,_, I_ppis1 'm_vbm different_jj because_ii21 @_ii	Great Britain	wlp_gb_b07.txt	Whiter shade of fame - First	Blog	http://www.iheartwatson.net/archives/?p=222	3611	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=821	503930733	503930734
823	3095099	HOUR late . He said he did n't think it was necessary to let us know , as he had	<<< been sat >>>	in a traffic jam and knew he would get to us eventually . What ! ! &lt;p&gt;  He could n't	HOUR_nnt1 late_rr_jj ._. He_pphs1 said_vvd he_pphs1 did_vdd n't_xx think_vvi it_pph1 was_vbdz necessary_jj to_to let_vvi us_ppio2 know_vvi ,_, as_csa he_pphs1 had_vhd	<<< been_vbn sat_vvn@ >>>	in_ii a_at1 traffic_nn1 jam_nn1 and_cc knew_vvn he_pphs1 would_vm get_vvi to_ii us_ppio2 eventually_rr ._. What_ddq !_! !_! &lt;p&gt; _null He_pphs1 could_vm n't_xx	Great Britain	wlp_gb_b07.txt	What NOT to do when selling! | Dylis Guyan | Increase Your Sales In	Blog	http://www.increaseyoursalesin30days.com/selling/	532	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=822	503976357	503976358
824	3097191	reason lap to even get close . &lt;p&gt;  Compare the onboard of Vettel and Hamilton , Vettel may as well	<<< be sat >>>	at home doing this on a playstation , hardly a correction on the corners at all . &lt;p&gt;  Is there	reason_nn1 lap_nn1 to_to even_rr get_vvi close_jj_rr@_vv0_nn1@ ._. &lt;p&gt; _null Compare_vv0 the_at onboard_nn1 of_io Vettel_np1 and_cc Hamilton_np1 ,_, Vettel_np1 may_vm as_rr21 well_rr22	<<< be_vbi sat_vvn@ >>>	at_ii home_nn1 doing_vdg this_dd1 on_ii a_at1 playstation_nn1 ,_, hardly_rr a_at1 correction_nn1 on_ii the_at corners_nn2 at_rr21 all_rr22 ._. &lt;p&gt; _null Is_vbz there_ex	Great Britain	wlp_gb_b07.txt	what do you think? - James Allen on F1	Blog	http://www.jamesallenonf1.com/2012/11/vettel-takes-a-giant-leap-to-the-world-title-as-alonso-only-manages-eighth-in-austin/	9299	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=823	504223604	504223605
825	3097496	the whole bloody thing . It was rather weird . And i did n't expect it to come so i	<<< was sat >>>	watching the end movie expecting it to just be a cutscene . Even when the credits rolled I was still	the_at whole_jj_nn1 bloody_jj thing_nn1 ._. It_pph1 was_vbdz rather_rg weird_jj ._. And_cc i_zz1_mc1 did_vdd n't_xx expect_vvi it_pph1 to_to come_vvi so_rg_rr i_mc1	<<< was_vbdz sat_vvn@ >>>	watching_vvg the_at end_nn1 movie_nn1 expecting_vvg it_pph1 to_to just_rr be_vbi a_at1 cutscene_nn1 ._. Even_rr when_cs the_at credits_nn2 rolled_vvd I_ppis1 was_vbdz still_rr	Great Britain	wlp_gb_b07.txt	Um, is that it? � Jimbeeer - Web design in Hampshire and	Blog	http://www.jimbeeer.com/?p=757	401	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=824	504275023	504275024
826	3097895	out on the water I @ @ @ @ @ @ @ @ @ @ it can be when you	<<< 're sat >>>	at a weird angle splashing through the waves , sometimes in sunshine and occasionally in pouring rain ! &lt;p&gt;  Handing	out_rp on_ii the_at water_nn1 I_ppis1 @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii it_pph1 can_vm be_vbi when_cs_rrq you_ppy	<<< 're_vbr sat_vvn@ >>>	at_ii a_at1 weird_jj angle_nn1 splashing_vvg_nn1 through_ii the_at waves_nn2 ,_, sometimes_rt in_ii sunshine_nn1 and_cc occasionally_rr in_ii pouring_jj_vvg rain_nn1 !_! &lt;p&gt; _null Handing_vvg	Great Britain	wlp_gb_b07.txt	Never let cancer get in the way of a sailing victory! - Joanne Wallen	Blog	http://www.jowallen.com/2012/11/never-let-cancer-get-in-the-way-of-a-sailing-victory/	558	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=825	504333120	504333121
